segment_id,segment_type,points,length_m,speed_mph,elev_min,elev_max,elev_mean,length_miles,length_km
0,secondary,30,514.0,40,81.2,81.2,81.2,0.319,0.514
1,secondary,30,339.1,40,81.2,81.2,81.2,0.211,0.339
2,secondary,30,590.5,40,81.2,81.2,81.2,0.367,0.59
3,secondary,30,420.4,40,81.2,81.2,81.2,0.261,0.42
4,secondary,30,524.3,40,81.2,95.1,92.3,0.326,0.524
5,secondary,30,548.8,40,95.1,95.1,95.1,0.341,0.549
6,secondary,30,418.6,40,95.1,95.1,95.1,0.26,0.419
7,secondary,30,480.0,40,95.1,95.1,95.1,0.298,0.48
8,secondary,30,880.6,40,95.1,95.1,95.1,0.547,0.881
9,urban,5,65.2,20,100.8,123.7,112.3,0.041,0.065
10,secondary,30,392.1,40,123.7,123.7,123.7,0.244,0.392
11,secondary,30,568.5,40,123.7,123.7,123.7,0.353,0.568
12,secondary,30,499.7,40,123.7,123.7,123.7,0.31,0.5
13,secondary,30,545.3,40,123.7,123.7,123.7,0.339,0.545
14,secondary,30,423.7,40,123.7,123.7,123.7,0.263,0.424
15,secondary,30,456.3,40,123.7,123.7,123.7,0.284,0.456
16,secondary,30,852.9,40,123.7,123.7,123.7,0.53,0.853
17,secondary,30,1019.0,40,123.7,123.7,123.7,0.633,1.019
18,secondary,30,1352.8,40,122.0,123.7,123.5,0.841,1.353
19,secondary,30,1230.2,40,122.0,122.0,122.0,0.764,1.23
20,primary,30,1706.1,50,122.0,122.0,122.0,1.06,1.706
21,secondary,30,1495.3,40,122.0,122.0,122.0,0.929,1.495
22,primary,30,1636.2,50,122.0,122.0,122.0,1.017,1.636
23,primary,30,1575.8,50,122.0,122.0,122.0,0.979,1.576
24,primary,30,1697.5,50,109.8,122.0,117.5,1.055,1.698
25,primary,30,1597.5,50,109.8,109.8,109.8,0.993,1.598
26,secondary,30,1266.7,40,109.8,109.8,109.8,0.787,1.267
27,primary,23,1438.8,50,109.8,109.8,109.8,0.894,1.439
28,highway,5,811.3,70,109.8,109.8,109.8,0.504,0.811
29,primary,5,549.9,50,109.8,109.8,109.8,0.342,0.55
30,primary,5,582.6,50,109.8,109.8,109.8,0.362,0.583
31,primary,30,1689.8,50,109.8,109.8,109.8,1.05,1.69
32,primary,30,1614.2,50,109.8,109.8,109.8,1.003,1.614
33,primary,30,1513.6,50,109.8,113.4,110.9,0.941,1.514
34,highway,15,1250.2,70,113.4,113.4,113.4,0.777,1.25
35,primary,5,600.2,50,113.4,113.4,113.4,0.373,0.6
36,highway,30,2442.2,70,113.4,113.4,113.4,1.518,2.442
37,secondary,30,970.3,40,113.4,113.4,113.4,0.603,0.97
38,secondary,30,1073.1,40,113.4,113.4,113.4,0.667,1.073
39,primary,30,2221.6,50,113.4,113.4,113.4,1.38,2.222
40,primary,12,767.7,50,113.4,113.4,113.4,0.477,0.768
41,primary,5,553.2,50,113.4,113.4,113.4,0.344,0.553
42,primary,23,1445.8,50,107.6,113.4,112.9,0.898,1.446
43,secondary,30,1312.2,40,103.8,105.7,103.9,0.815,1.312
44,secondary,28,812.8,40,103.8,103.8,103.8,0.505,0.813
45,primary,11,730.3,50,103.8,103.8,103.8,0.454,0.73
46,secondary,30,1072.1,40,103.8,103.8,103.8,0.666,1.072
47,secondary,30,607.9,40,103.8,103.8,103.8,0.378,0.608
48,secondary,30,1424.4,40,103.8,103.8,103.8,0.885,1.424
49,primary,5,475.4,50,103.8,103.8,103.8,0.295,0.475
50,highway,15,1295.0,70,103.8,103.8,103.8,0.805,1.295
51,secondary,30,1459.9,40,103.8,103.8,103.8,0.907,1.46
52,primary,12,814.3,50,103.6,103.8,103.8,0.506,0.814
53,secondary,30,1491.9,40,103.4,103.5,103.4,0.927,1.492
54,secondary,22,1037.5,40,103.4,103.4,103.4,0.645,1.038
55,primary,5,426.4,50,103.4,103.4,103.4,0.265,0.426
56,primary,25,1478.3,50,103.4,103.4,103.4,0.919,1.478
57,secondary,10,488.0,40,103.4,103.4,103.4,0.303,0.488
58,primary,5,289.6,50,103.4,103.4,103.4,0.18,0.29
59,secondary,30,778.5,40,103.4,103.4,103.4,0.484,0.778
60,secondary,14,634.6,40,103.4,103.4,103.4,0.394,0.635
61,primary,5,477.8,50,103.4,103.4,103.4,0.297,0.478
62,primary,5,721.4,50,103.4,103.4,103.4,0.448,0.721
63,primary,30,1597.8,50,101.2,103.4,103.3,0.993,1.598
64,secondary,30,1351.2,40,92.6,99.1,93.0,0.84,1.351
65,secondary,30,729.8,40,92.6,92.6,92.6,0.453,0.73
66,secondary,30,1056.0,40,92.6,92.6,92.6,0.656,1.056
67,secondary,30,1172.4,40,92.6,92.6,92.6,0.728,1.172
68,secondary,30,652.5,40,92.6,92.6,92.6,0.405,0.652
69,secondary,30,838.9,40,92.6,92.6,92.6,0.521,0.839
70,secondary,30,904.5,40,92.6,92.6,92.6,0.562,0.904
71,secondary,30,1229.5,40,92.6,92.6,92.6,0.764,1.23
72,secondary,7,315.8,40,76.4,92.6,86.8,0.196,0.316
73,secondary,30,1333.8,40,72.4,72.4,72.4,0.829,1.334
74,secondary,30,1226.2,40,72.4,72.4,72.4,0.762,1.226
75,primary,30,1506.4,50,72.4,72.4,72.4,0.936,1.506
76,secondary,30,1369.6,40,72.4,72.4,72.4,0.851,1.37
77,primary,29,1515.7,50,72.4,72.4,72.4,0.942,1.516
78,primary,24,1437.4,50,72.4,83.4,73.3,0.893,1.437
79,primary,5,357.7,50,87.0,90.7,90.0,0.222,0.358
80,primary,17,946.6,50,90.7,90.7,90.7,0.588,0.947
81,primary,30,1557.8,50,90.7,90.7,90.7,0.968,1.558
82,secondary,30,625.8,40,90.7,90.7,90.7,0.389,0.626
83,primary,30,1811.1,50,90.7,90.7,90.7,1.125,1.811
84,primary,8,597.6,50,90.7,90.7,90.7,0.371,0.598
85,primary,5,799.4,50,90.7,90.7,90.7,0.497,0.799
86,primary,5,575.0,50,90.7,90.7,90.7,0.357,0.575
87,primary,22,1540.0,50,90.7,90.7,90.7,0.957,1.54
88,primary,6,652.5,50,90.7,90.7,90.7,0.405,0.652
89,highway,5,897.4,70,78.1,88.2,83.1,0.558,0.897
90,primary,5,321.3,50,78.1,78.1,78.1,0.2,0.321
91,secondary,21,350.5,40,78.1,78.1,78.1,0.218,0.35
92,primary,30,1857.9,50,78.1,78.1,78.1,1.154,1.858
93,secondary,30,1193.4,40,78.1,78.1,78.1,0.742,1.193
94,primary,5,451.1,50,78.1,78.1,78.1,0.28,0.451
95,secondary,23,549.6,40,78.1,78.1,78.1,0.342,0.55
96,highway,8,1101.7,70,78.1,78.1,78.1,0.685,1.102
97,primary,15,854.4,50,78.1,78.1,78.1,0.531,0.854
98,secondary,30,1109.9,40,78.1,78.1,78.1,0.69,1.11
99,primary,6,415.3,50,78.1,78.1,78.1,0.258,0.415
100,primary,5,552.0,50,78.1,78.1,78.1,0.343,0.552
101,primary,11,754.2,50,78.1,78.1,78.1,0.469,0.754
102,primary,9,498.3,50,78.1,78.1,78.1,0.31,0.498
103,primary,22,1581.1,50,78.1,78.1,78.1,0.982,1.581
104,highway,5,1265.4,70,78.1,78.1,78.1,0.786,1.265
105,primary,30,1779.2,50,78.1,78.1,78.1,1.106,1.779
106,primary,30,1548.7,50,61.4,78.1,65.9,0.962,1.549
107,primary,5,573.0,50,61.4,61.4,61.4,0.356,0.573
108,primary,23,1484.1,50,61.4,61.4,61.4,0.922,1.484
