lon,lat,elev_m,distance_to_next_m,cumulative_distance_km,speed_limit_mph
-3.188528,55.953389,71.1,3.419988405903103,0.0034199884059031033,20.0
-3.18856,55.953364,70.9,32.80726456025852,0.036227252966161624,20.0
-3.189063,55.953276,67.0,68.49872031911679,0.1047259732852784,20.0
-3.188765,55.952683,67.0,169.49131628015965,0.274217289565438,20.0
-3.188045,55.951213,87.0,120.24799867025082,0.3944652882356888,20.0
-3.187548,55.950168,89.0,52.25577886880619,0.44672106710449505,20.0
-3.187338,55.949713,79.0,32.37828572942872,0.4790993528339238,20.0
-3.187837,55.949631,79.0,111.4605399338239,0.5905598927677477,20.0
-3.187316,55.948672,82.0,37.696163810657204,0.6282560565784049,20.0
-3.187917,55.948631,81.0,60.78228493858325,0.6890383415169882,20.0
-3.188884,55.948556,84.0,22.811094863378848,0.711849436380367,20.0
-3.189245,55.948521,87.0,26.25774913601809,0.7381071855163851,20.0
-3.189659,55.948476,87.0,82.99463763125901,0.8211018231476441,20.0
-3.190969,55.948338,93.0,28.584045028291328,0.8496858681759355,20.0
-3.191421,55.948293,90.7,13.885448991900763,0.8635713171678362,20.0
-3.191634,55.948256,90.0,53.21347400687368,0.9167847911747099,20.0
-3.192445,55.948105,87.0,16.262828292949912,0.9330476194676598,20.0
-3.192684,55.948046,84.0,36.039288260779394,0.9690869077284392,20.0
-3.193215,55.947917,83.4,13.37557869053474,0.9824624864189739,20.0
-3.193377,55.947838,81.0,16.864935005819575,0.9993274214247936,20.0
-3.193645,55.947816,81.0,26.52934885202292,1.0258567702768164,20.0
-3.19407,55.947833,80.0,9.680950783938478,1.0355377210607548,20.0
-3.194224,55.947821,78.0,2.8416497455360465,1.0383793708062907,20.0
-3.194266,55.947811,78.0,72.17767238739329,1.1105570431936842,20.0
-3.195321,55.947542,76.0,31.752836261245967,1.14230987945493,20.0
-3.195787,55.947426,83.0,40.16753168104048,1.1824774111359704,20.0
-3.196368,55.947269,80.0,50.04076702917358,1.232518178165144,20.0
-3.197075,55.947055,78.0,38.95292247492534,1.2714711006400694,20.0
